nms_pre,min_bbox_size,score_thr,max_per_img,network,avg_time,precision,recall, F1;
100,0,0.1,10,rtmdet_x_8xb32-300e_coco.py,0.056780387193728715,0.7085755813953488,0.5102040816326531,0.5932461210830545;
100,0,0.1,10,rtmdet_l_8xb32-300e_coco.py,0.03548160049150575,0.7193605683836589,0.423861852433281,0.5334211392821864;
100,0,0.1,10,rtmdet_m_8xb32-300e_coco.py,0.022570745268864417,0.7316849816849816,0.4181057038199895,0.5321345321345322;
100,0,0.1,10,rtmdet_s_8xb32-300e_coco.py,0.018479851789252703,0.794383149448345,0.41444270015698587,0.5447042640990372;
100,0,0.1,10,rtmdet_tiny_8xb32-300e_coco.py,0.017753228545188904,0.7868613138686131,0.28205128205128205,0.41525423728813554;
100,0,0.1,25,rtmdet_x_8xb32-300e_coco.py,0.056237887986850386,0.7011019283746557,0.532705389848247,0.6054118346714243;
100,0,0.1,25,rtmdet_l_8xb32-300e_coco.py,0.03547647494190144,0.7129228100607112,0.4301412872841444,0.5365535248041775;
100,0,0.1,25,rtmdet_m_8xb32-300e_coco.py,0.022502483716651575,0.7191111111111111,0.42333856619570903,0.5329380764163373;
100,0,0.1,25,rtmdet_s_8xb32-300e_coco.py,0.018715288287909457,0.7927308447937131,0.42229199372056514,0.5510413110276544;
100,0,0.1,25,rtmdet_tiny_8xb32-300e_coco.py,0.01795518398284912,0.7851959361393324,0.28309785452642594,0.41615384615384615;
100,0,0.1,50,rtmdet_x_8xb32-300e_coco.py,0.05680593640813024,0.7011019283746557,0.532705389848247,0.6054118346714243;
100,0,0.1,50,rtmdet_l_8xb32-300e_coco.py,0.03593767274100825,0.7129228100607112,0.4301412872841444,0.5365535248041775;
100,0,0.1,50,rtmdet_m_8xb32-300e_coco.py,0.023188386390458293,0.7191111111111111,0.42333856619570903,0.5329380764163373;
100,0,0.1,50,rtmdet_s_8xb32-300e_coco.py,0.018821201583211735,0.7927308447937131,0.42229199372056514,0.5510413110276544;
100,0,0.1,50,rtmdet_tiny_8xb32-300e_coco.py,0.01797733562333243,0.7851959361393324,0.28309785452642594,0.41615384615384615;
100,0,0.3,10,rtmdet_x_8xb32-300e_coco.py,0.05646922562148545,0.7085755813953488,0.5102040816326531,0.5932461210830545;
100,0,0.3,10,rtmdet_l_8xb32-300e_coco.py,0.035590911361406435,0.7193605683836589,0.423861852433281,0.5334211392821864;
100,0,0.3,10,rtmdet_m_8xb32-300e_coco.py,0.02281125267939781,0.7316849816849816,0.4181057038199895,0.5321345321345322;
100,0,0.3,10,rtmdet_s_8xb32-300e_coco.py,0.018827740536179652,0.794383149448345,0.41444270015698587,0.5447042640990372;
100,0,0.3,10,rtmdet_tiny_8xb32-300e_coco.py,0.017860436013766696,0.7868613138686131,0.28205128205128205,0.41525423728813554;
100,0,0.3,25,rtmdet_x_8xb32-300e_coco.py,0.05659656210260077,0.7011019283746557,0.532705389848247,0.6054118346714243;
100,0,0.3,25,rtmdet_l_8xb32-300e_coco.py,0.03578496968971109,0.7129228100607112,0.4301412872841444,0.5365535248041775;
100,0,0.3,25,rtmdet_m_8xb32-300e_coco.py,0.02274813136058067,0.7191111111111111,0.42333856619570903,0.5329380764163373;
100,0,0.3,25,rtmdet_s_8xb32-300e_coco.py,0.01870547893435456,0.7927308447937131,0.42229199372056514,0.5510413110276544;
100,0,0.3,25,rtmdet_tiny_8xb32-300e_coco.py,0.01784732299191611,0.7851959361393324,0.28309785452642594,0.41615384615384615;
100,0,0.3,50,rtmdet_x_8xb32-300e_coco.py,0.056779462339240555,0.7011019283746557,0.532705389848247,0.6054118346714243;
100,0,0.3,50,rtmdet_l_8xb32-300e_coco.py,0.036647004901238206,0.7129228100607112,0.4301412872841444,0.5365535248041775;
100,0,0.3,50,rtmdet_m_8xb32-300e_coco.py,0.02338766784810308,0.7191111111111111,0.42333856619570903,0.5329380764163373;
100,0,0.3,50,rtmdet_s_8xb32-300e_coco.py,0.01892232248025347,0.7927308447937131,0.42229199372056514,0.5510413110276544;
100,0,0.3,50,rtmdet_tiny_8xb32-300e_coco.py,0.018000071602208272,0.7851959361393324,0.28309785452642594,0.41615384615384615;
100,0,0.5,10,rtmdet_x_8xb32-300e_coco.py,0.05748800480322087,0.7085755813953488,0.5102040816326531,0.5932461210830545;
100,0,0.5,10,rtmdet_l_8xb32-300e_coco.py,0.03609578024666264,0.7193605683836589,0.423861852433281,0.5334211392821864;
100,0,0.5,10,rtmdet_m_8xb32-300e_coco.py,0.023000160259986992,0.7316849816849816,0.4181057038199895,0.5321345321345322;
100,0,0.5,10,rtmdet_s_8xb32-300e_coco.py,0.018993020057678223,0.794383149448345,0.41444270015698587,0.5447042640990372;
100,0,0.5,10,rtmdet_tiny_8xb32-300e_coco.py,0.017967496599469866,0.7868613138686131,0.28205128205128205,0.41525423728813554;
100,0,0.5,25,rtmdet_x_8xb32-300e_coco.py,0.057524588518526966,0.7011019283746557,0.532705389848247,0.6054118346714243;
100,0,0.5,25,rtmdet_l_8xb32-300e_coco.py,0.036505353675698335,0.7129228100607112,0.4301412872841444,0.5365535248041775;
100,0,0.5,25,rtmdet_m_8xb32-300e_coco.py,0.02306371838299196,0.7191111111111111,0.42333856619570903,0.5329380764163373;
100,0,0.5,25,rtmdet_s_8xb32-300e_coco.py,0.018724367600078732,0.7927308447937131,0.42229199372056514,0.5510413110276544;
100,0,0.5,25,rtmdet_tiny_8xb32-300e_coco.py,0.01801857990877969,0.7851959361393324,0.28309785452642594,0.41615384615384615;
100,0,0.5,50,rtmdet_x_8xb32-300e_coco.py,0.05753950408963494,0.7011019283746557,0.532705389848247,0.6054118346714243;
100,0,0.5,50,rtmdet_l_8xb32-300e_coco.py,0.03610925494499926,0.7129228100607112,0.4301412872841444,0.5365535248041775;
